Meals,Type of Dish,Timing,Season,Health & Diet,Food Descriptors,Other,World Cuisine
Appetizer,Baked Good ,Easy,Autumn,Allergies,Acidic,Proctor,African 
Breakfast,Beverage ,Quick,Spring,Gluten-Free,Acrid,Ross,Asian 
Dessert,Bread ,,Summer,Healthy,Aged,Atwater,Australian 
High Tea,Cake ,,Winter,Low-Carb,Bitter,Battell,British 
Lunch,Candy ,,,Low-Sugar,Bittersweet,Gifford,Canadian 
Main Dish,Casserole ,,,Meatless,Bland,Hepburn,Chinese 
Side Dish,Condiments ,,,Vegan,Burnt,Post-Game,European 
Supper,Cookie ,,,Vegetarian,Buttery,Post-Workout,French 
Dinner,Crackers ,,,Organic,Chalky,Pre-Game,German 
,Jams & Preserved Foods ,,,,Cheesy,Pregame,Greek 
,Panini,,,,Crusty,Alcoholic,Indian 
,Pasta ,,,,Chewy,Pikachu,Italian 
,Pizza ,,,,Chocolaty,Panther,Japanese 
,Restaurant,,,,Citrusy,Pearsons,Latin American 
,Rice,,,,Doughy,Lib,Mediterranean 
,Sandwich ,,,,Cool,Finals,Mexican 
,Sauce ,,,,Creamy,Feb,Middle Eastern 
,Snack,,,,Crispy,Reg,Moroccan 
,Soup ,,,,Crumbly,J-Term,Portuguese 
,Spice Mix ,,,,Crunchy,ADK,Spanish 
,Salad,,,,Dry,Road,Thai 
,Drink,,,,Earthy,Allen,Vietnamese 
,,,,,Eggy,,
,,,,,Fatty,,
,,,,,Fermented,,
,,,,,Fiery,,
,,,,,Fishy,,
,,,,,Fizzy,,
,,,,,Flakey,,
,,,,,Flat,,
,,,,,Flavorful,,
,,,,,Fresh,,
,,,,,Fried,,
,,,,,Fruity,,
,,,,,Full-bodied,,
,,,,,,,
,,,,,Garlicky,,
,,,,,Gelatinous,,
,,,,,Gingery,,
,,,,,Glazed,,
,,,,,Grainy,,
,,,,,Greasy,,
,,,,,Gooey,,
,,,,,Gritty,,
,,,,,Harsh,,
,,,,,Hearty,,
,,,,,Heavy,,
,,,,,Herbal,,
,,,,,Hot,,
,,,,,Icy,,
,,,,,Infused,,
,,,,,Juicy,,
,,,,,Lean,,
,,,,,Light,,
,,,,,Lemony,,
,,,,,Malty,,
,,,,,Mashed,,
,,,,,Meaty,,
,,,,,Mellow,,
,,,,,Mild,,
,,,,,Minty,,
,,,,,Moist,,
,,,,,Mushy,,
,,,,,Nutty,,
,,,,,Oily,,
,,,,,Oniony,,
,,,,,Overripe,,
,,,,,Pasty,,
,,,,,Peppery,,
,,,,,Pickled,,
,,,,,Plain,,
,,,,,Powdery,,
,,,,,Raw,,
,,,,,Refreshing,,
,,,,,Rich,,
,,,,,Ripe,,
,,,,,Roasted,,
,,,,,Robust,,
,,,,,Rubbery,,
,,,,,Runny,,
,,,,,Salty,,
,,,,,Sautéed,,
,,,,,Savory,,
,,,,,Seared,,
,,,,,Seasoned,,
,,,,,Sharp,,
,,,,,Silky,,
,,,,,Slimy,,
,,,,,Smokey,,
,,,,,Smothered,,
,,,,,Smooth,,
,,,,,Soggy,,
,,,,,Soupy,,
,,,,,Sour,,
,,,,,Spicy,,
,,,,,Spongy,,
,,,,,Stale,,
,,,,,Sticky,,
,,,,,Stale,,
,,,,,Stringy,,
,,,,,Strong,,
,,,,,Sweet,,
,,,,,Sweet-and-sour,,
,,,,,Syrupy,,
,,,,,Tangy,,
,,,,,Tart,,
,,,,,Tasteless,,
,,,,,Tender,,
,,,,,Toasted,,
,,,,,Tough,,
,,,,,Unflavored,,
,,,,,Unseasoned,,
,,,,,Velvety,,
,,,,,Vinegary,,
,,,,,Watery,,
,,,,,Whipped,,
,,,,,Woody,,
,,,,,Yeasty,,
,,,,,Zesty,,
,,,,,Zingy,,